first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,R,S,T,U,V,Value
Welby,Lourenco,Male,229,12/27/1975,48,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,0.4,0.5,0.63,0.63,144,1.234
Glenn,Casbourne,Female,230,8/8/1981,42,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,0.85,0.85,1.06,0.9,144,1.234
Nadiya,Balasini,Female,231,11/5/1950,73,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,0.5,0.5,0.63,0.53,146,1.225
Tyne,Coate,Female,232,7/15/1965,58,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,0.71,0.71,0.89,0.75,146,1.225
Christie,Anders,Male,233,10/2/1969,54,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,0.67,0.67,0.84,0.71,146,1.225
Agnella,Capener,Female,234,5/21/1969,54,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,0.5,0.5,0.63,0.63,146,1.225
Bernardine,Delmonti,Female,235,3/31/1971,53,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,0.57,0.57,0.7125,0.605625,146,1.225
Daisy,Spowart,Female,236,12/18/1967,56,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,0.85,1.06,1.33,1.33,146,1.225
Denys,Minshall,Female,237,12/26/1961,62,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,0.8,1,1.25,1.25,152,1.222
Archibald,Blessed,Male,238,2/10/1969,55,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,0.49,0.61,0.77,0.65,153,1.219
Feodor,Englishby,Male,239,8/14/1961,62,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,0.53,0.53,0.66,0.56,154,1.203
Skippie,Yearsley,Male,240,9/4/1956,67,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,0.95,0.95,1.19,1.01,155,1.2
Bill,,Female,241,4/24/1963,61,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,0.8,1,1.25,1.06,155,1.2
Tessa,Friese,Female,242,10/24/1976,47,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,0.64,0.64,0.8,0.68,157,1.195
Roseanne,Caruth,Female,243,5/25/1957,66,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,1.08,1.08,1.35,1.15,158,1.188
Tedra,Goodbanne,Female,244,1/15/1978,46,Senior Quality Engineer,n/a,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,0.97,1.21,1.52,1.29,158,1.188
Roberto,Harme,Male,245,6/11/1951,72,Environmental Tech,n/a,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,1.06,1.06,1.33,1.33,158,1.188
Nichole,Leisman,Male,246,8/7/1986,37,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,1.03,1.03,1.29,1.29,158,1.188
Amil,Ennor,Female,247,8/4/1995,28,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,0.72,0.9,1.13,0.96,158,1.188
Shawna,Hinrichsen,Female,248,8/27/1969,54,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,0.59,0.74,0.92,0.92,163,1.182
Fonsie,Levane,Male,249,7/10/1951,72,Account Representative III,n/a,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,1.01,1.26,1.58,1.58,163,1.182
Emilie,Brody,Female,250,5/22/1979,44,Director of Sales,n/a,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,0.58,0.73,0.91,0.77,163,1.182
Robert,Corkill,Male,251,3/12/1976,48,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,0.87,0.87,1.09,0.92,166,1.175
Elvira,Kurten,Female,252,3/18/1973,51,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,0.9,0.9,1.13,1.13,166,1.175
Juliana,Mitchenson,Female,253,1/5/1989,35,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,0.58,0.73,0.91,0.77,166,1.175
Regine,Bownes,Female,254,7/1/1952,71,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,0.9,0.9,1.13,1.13,166,1.175
Abner,Fraschetti,Male,255,1/23/1986,38,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,0.7,0.7,0.88,0.88,166,1.175
Alvira,Coulman,Female,256,6/5/1955,68,Account Representative II,n/a,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,0.63,0.63,0.79,0.79,166,1.175
Sawyer,Sponton,Male,257,2/22/1956,68,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,0.65,0.81,1.02,0.86,166,1.175
Feodor,Vickers,Male,258,11/18/1989,34,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,0.61,0.76,0.95,0.81,173,1.172
Paten,Cayet,Male,259,2/19/1995,29,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,0.57,0.71,0.89,0.89,174,1.169
Loria,Tappington,Female,260,9/6/1955,68,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,0.82,0.82,1.03,0.87,174,1.169
Tanya,Kiefer,Female,261,7/5/1992,31,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,0.99,0.99,1.24,1.24,174,1.169
Devonne,Alderwick,Female,262,1/29/1939,85,Research Associate,n/a,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,0.45,0.56,0.7,0.7,177,1.163
Omero,McDonand,Male,263,4/1/1952,72,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,0.96,0.96,1.2,1.02,177,1.163
Iain,Haversham,Male,264,12/26/1950,73,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,0.97,1.21,1.52,1.29,177,1.163
Keriann,Newham,Female,265,3/26/1975,49,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,0.46,0.46,0.58,0.49,177,1.163
Conroy,Rappaport,Male,266,1/8/1965,59,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,0.6,0.6,0.75,0.75,181,1.158
Dorian,Rustman,Male,267,12/9/1974,49,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,0.92,0.92,1.15,0.98,181,1.158
Quillan,Guinane,Male,268,3/24/1946,78,Community Outreach Specialist,n/a,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,0.79,0.99,1.23,1.23,181,1.158
Harlin,Mazin,Male,269,3/25/1974,50,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,0.58,0.73,0.91,0.77,181,1.158
Eustacia,Dornan,Female,270,9/2/1985,38,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,0.91,0.91,1.14,0.97,181,1.158
Maury,Galego,Male,271,7/27/1992,31,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,0.76,0.95,1.19,1.19,181,1.158
Reggie,Kernar,Female,272,11/28/1971,52,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,0.47,0.47,0.59,0.59,181,1.158
Brigitte,Whellams,Female,273,5/9/1973,51,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,0.5,0.63,0.78,0.66,188,1.156
Kinna,Kollasch,Female,274,11/9/1986,37,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,0.63,0.63,0.79,0.79,188,1.156
Maurizio,Comi,Male,275,5/30/1996,27,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,1,1,1.25,1.25,190,1.155
Elbertina,Fendley,Female,276,3/27/1992,32,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,0.65,0.65,0.81,0.81,191,1.15
Franklin,Wohler,Male,277,10/16/1938,85,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,0.8,1,1.25,1.06,191,1.15
Allyson,Petchell,Female,278,3/19/1970,54,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,0.74,0.74,0.93,0.93,191,1.15
Ermentrude,Heindle,Female,279,8/2/1969,54,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,0.88,0.88,1.1,0.94,191,1.15
Alanna,Lerway,Female,280,1/5/1944,80,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,0.57,0.71,0.89,0.76,195,1.148
Vincent,Jopke,Male,281,3/10/1972,52,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,0.84,0.84,1.05,1.05,195,1.148
Mandie,Jeffryes,Female,282,2/16/1981,43,Business Systems Development Analyst,n/a,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,0.95,0.95,1.19,1.19,195,1.148
Collete,Dory,Female,283,1/9/1990,34,Information Systems Manager,n/a,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,1.05,1.05,1.31,1.31,195,1.148
Leonid,Dorricott,Male,284,11/18/1993,30,Environmental Tech,n/a,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,0.4,0.4,0.5,0.5,195,1.148
Charlena,Berney,Female,285,1/2/1966,58,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,0.41,0.51,0.64,0.64,195,1.148
Alfonso,Massel,Male,286,12/5/1940,83,,n/a,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,0.73,0.9125,1.140625,0.96953125,201,1.1421875
Engracia,Dobbs,Female,287,4/19/1959,65,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,0.48,0.48,0.6,0.51,202,1.140625
Glyn,,Male,288,2/13/1945,79,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,0.47,0.59,0.73,0.73,202,1.141
Rosemonde,Cartwight,Female,289,10/20/1952,71,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,0.52,0.65,0.81,0.69,202,1.141
Alano,Satchel,Male,290,11/26/1998,25,Recruiting Manager,n/a,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,0.89,0.89,1.11,0.95,202,1.141
Corrine,Baribal,Female,291,10/12/1948,75,Senior Sales Associate,n/a,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,0.43,0.54,0.67,0.67,206,1.138
Benoit,Harniman,Male,292,8/27/1976,47,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7,0.41,0.41,0.51,0.51,206,1.138
Jeanne,Darte,Female,293,8/18/1955,68,,n/a,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,1,1.25,1.5625,1.328125,206,1.1375
Jenelle,Fearnill,Female,294,1/3/1958,66,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,0.65,0.65,0.81,0.81,206,1.138
Tannie,Gambrell,Male,295,5/25/1967,56,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,0.46,0.46,0.58,0.58,206,1.138
Mick,Macewan,Male,296,12/12/1967,56,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10,0.53,0.53,0.66,0.56,206,1.138
Abbie,Oldman,Male,297,11/26/1983,40,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,0.93,1.1625,1.453125,1.453125,212,1.136875
Tabbie,Curner,Male,298,3/13/1997,27,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,0.69,0.69,0.86,0.73,212,1.137
Shane,Killen,Male,299,10/16/1956,67,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,1.07,1.07,1.34,1.34,212,1.137
Roberta,Goodale,Female,300,2/28/1947,77,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,1.04,1.3,1.63,1.38,215,1.129
Kippy,Barabisch,Male,301,4/7/2000,24,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,0.41,0.41,0.51,0.44,215,1.129
Rosalinde,Cubuzzi,Female,302,9/4/1997,26,Business Systems Development Analyst,n/a,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,0.51,0.51,0.64,0.54,215,1.129
Cami,Barnbrook,Female,303,1/1/1963,61,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,0.68,0.85,1.06,1.06,218,1.126
Dorian,Stollen,Male,304,2/16/1980,44,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,0.66,0.83,1.03,0.88,219,1.125
Hunfredo,Hayball,Male,305,4/15/1994,30,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,0.59,0.59,0.7375,0.7375,219,1.125
Giorgi,O'Shirine,Male,306,6/20/1981,42,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,0.68,0.85,1.06,0.9,219,1.125
Kort,Disley,Male,307,2/5/1979,45,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,0.96,1.2,1.5,1.28,219,1.125
Gretna,Thredder,Female,308,1/8/1966,58,,n/a,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,0.69,0.69,0.8625,0.733125,223,1.115625
Tobiah,Heinsius,Male,309,1/25/2000,24,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,0.5,0.5,0.63,0.63,223,1.116
Wallace,Newart,Male,310,12/6/1977,46,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,0.93,0.93,1.1625,0.988125,223,1.115625
Hersh,Stubbert,Male,311,6/25/2000,23,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,0.62,0.78,0.97,0.82,226,1.113
Hatti,Carletti,U,312,,124,Legal Assistant,IT,Affluent Customer,N,Yes,11,6 Iowa Center,2519,NSW,Australia,9,0.94,1.18,1.47,1.47,226,1.113
Wyn,Saynor,Male,313,6/22/1964,59,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,1.02,1.02,1.28,1.28,226,1.113
Maribeth,Stivani,Female,314,11/13/1954,69,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,0.42,0.42,0.53,0.45,226,1.113
Abigale,Sives,Female,315,12/13/1963,60,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,0.42,0.53,0.66,0.66,230,1.109
Gothart,Artus,Male,316,5/31/1978,45,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,0.62,0.78,0.97,0.82,231,1.105
Danny,Bodle,Male,317,9/24/1943,80,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,0.8,1,1.25,1.06,231,1.105
Vittorio,Boxen,Male,318,8/15/1965,58,Mechanical Systems Engineer,n/a,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,0.67,0.67,0.84,0.71,233,1.1
Deborah,Petrovsky,Female,319,7/14/1943,80,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,0.8,0.8,1,0.85,233,1.1
Agace,Hedge,Female,320,7/23/1997,26,Media Manager II,n/a,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,0.65,0.81,1.02,0.86,233,1.1
Rolland,Esmead,Male,321,7/13/1940,83,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,0.86,0.86,1.075,1.075,233,1.1
Latrena,Walklate,Female,322,10/5/1943,80,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,0.47,0.59,0.73,0.73,237,1.094
Mariquilla,Springthorpe,Female,323,4/4/1939,85,Director of Sales,n/a,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,0.61,0.76,0.95,0.81,237,1.094
Leticia,Danovich,Female,324,10/2/1941,82,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,0.48,0.6,0.75,0.64,237,1.094
Harman,Lynds,Male,325,5/27/1961,62,Professor,n/a,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,0.67,0.84,1.05,0.89,240,1.09
Farra,Matyushkin,Female,326,1/24/1974,50,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,0.91,1.14,1.42,1.42,241,1.088
Robenia,Monks,Female,327,5/8/1959,65,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,1.02,1.02,1.28,1.08,241,1.088
Roman,Eastwood,Male,328,9/21/1969,54,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,1.1,1.38,1.72,1.72,241,1.088
Solomon,Bruck,Male,329,11/15/1957,66,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,0.7,0.7,0.88,0.74,244,1.084
Krystyna,Airey,Female,330,9/5/1950,73,Safety Technician II,n/a,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,0.82,1.03,1.28,1.09,244,1.084
Katharine,Redbourn,Female,331,9/11/1967,56,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,0.63,0.79,0.98,0.98,244,1.084
Cammy,Stoneham,Female,332,5/2/1963,61,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,0.42,0.42,0.53,0.53,244,1.084
Ellsworth,Andrieux,Male,333,4/26/1971,53,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,1.02,1.28,1.59,1.59,248,1.078
Federico,Leuty,Male,334,12/11/1978,45,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,0.78,0.98,1.22,1.22,249,1.076
Ferdy,Hornung,Male,335,5/14/1974,49,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,0.64,0.64,0.8,0.8,250,1.075
Sunny,Christescu,Female,336,3/12/1975,49,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,0.83,0.83,1.04,0.88,250,1.075
Shadow,Yakutin,Male,337,2/3/1967,57,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,0.8,1,1.25,1.25,252,1.073
Sharai,Priddie,Female,338,1/16/1961,63,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,0.65,0.65,0.81,0.69,252,1.073
Celeste,Fretson,Female,339,9/16/1980,43,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,0.44,0.44,0.55,0.47,252,1.073
Lea,Ilyinski,Female,340,9/25/1997,26,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,0.42,0.42,0.53,0.53,252,1.073
Dyann,Olechnowicz,Female,341,7/17/1939,84,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,0.86,0.86,1.08,0.91,252,1.073
Delly,Sunman,Female,342,4/11/1959,65,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,0.5,0.5,0.63,0.53,252,1.073
Malvin,Ryhorovich,Male,343,3/3/1962,62,Quality Control Specialist,n/a,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,0.69,0.69,0.86,0.73,252,1.073
Tanya,Hamberston,Female,344,9/25/2000,23,Product Engineer,n/a,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,0.49,0.61,0.77,0.65,259,1.063
Kaela,Romaines,Female,345,11/27/1971,52,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,0.48,0.48,0.6,0.6,259,1.063
Evonne,Bembridge,Female,346,7/6/1969,54,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,0.58,0.73,0.91,0.77,259,1.063
Shannen,Lewin,Female,347,6/7/1991,32,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,0.46,0.46,0.58,0.58,259,1.063
Bogey,Attew,Male,348,11/18/1992,31,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,0.95,1.19,1.48,1.26,259,1.063
Zondra,Ringham,Female,349,1/13/1948,76,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,0.74,0.93,1.16,0.98,259,1.063
Barnebas,Apfel,Male,350,2/19/1996,28,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,1,1.25,1.56,1.56,259,1.063
Alleen,Eaken,Female,351,8/31/1938,85,,n/a,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,0.83,0.83,1.0375,0.881875,259,1.0625
Gerri,Schimann,Female,352,11/17/1969,54,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,0.67,0.84,1.05,0.89,259,1.063
Antonietta,Egle,Female,353,9/25/1973,50,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7,0.85,0.85,1.06,0.9,259,1.063
Raff,Waycott,Male,354,12/16/1951,72,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,0.93,1.16,1.45,1.45,259,1.063
Lark,Gonet,Female,355,1/17/1972,52,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,0.97,0.97,1.21,1.21,259,1.063
Cletis,Longley,Male,356,7/1/1996,27,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,0.96,1.2,1.5,1.5,271,1.06
Bartram,Di Lucia,Male,357,1/3/1961,63,,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,0.84,1.05,1.3125,1.115625,271,1.06
Theresa,Cowper,Female,358,8/24/1976,47,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,0.64,0.64,0.8,0.68,271,1.06
Philbert,Raraty,Male,359,6/28/1956,67,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,0.58,0.58,0.73,0.62,274,1.052
Egon,Ortells,Male,360,6/11/1976,47,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,0.85,0.85,1.06,1.06,274,1.052
Dahlia,Shovlar,Female,361,3/7/1966,58,Environmental Specialist,n/a,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,0.62,0.78,0.97,0.97,274,1.052
Timi,Duny,Female,362,3/12/1953,71,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,0.87,0.87,1.09,1.09,274,1.052
Dominick,Asher,Male,363,10/6/1962,61,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,0.64,0.8,1,1,278,1.05
Raye,Roo,Female,364,3/7/1976,48,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,0.4,0.5,0.63,0.53,278,1.05
Becka,Hacon,Female,365,7/3/1965,58,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9,0.49,0.49,0.61,0.61,278,1.05
Cirillo,Frossell,Male,366,10/14/1968,55,Graphic Designer,n/a,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,0.79,0.79,0.99,0.84,278,1.05
Verla,Dumingos,Female,367,9/18/1971,52,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,0.83,1.04,1.3,1.1,282,1.049
Sherrie,Godleman,Female,368,4/2/1978,46,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2,0.44,0.44,0.55,0.47,282,1.049
Dexter,Shutle,Male,369,1/5/1959,65,Quality Control Specialist,n/a,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,0.9,0.9,1.13,0.96,284,1.047
Konstanze,Hovie,Female,370,1/9/1967,57,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,QLD,Australia,7,0.4,0.4,0.5,0.43,285,1.041
Bink,Bentje,Male,371,3/23/1957,67,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,0.81,1.01,1.27,1.27,285,1.041
Taber,Szymon,Male,372,4/22/1947,77,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8,0.81,0.81,1.01,1.01,287,1.04
